salary_id,employee_id,salary_amount,salary_date
0,11000,1000,4/24/2023 10:05
1,11001,1000,4/24/2023 10:05
2,11002,500,4/24/2023 10:05
3,11003,500,4/24/2023 10:05
4,11004,1500,4/24/2023 10:05
5,11005,1000,4/24/2023 10:05
6,11006,1000,4/24/2023 10:05
7,11007,500,4/24/2023 10:05
8,11008,500,4/24/2023 10:05
9,11009,1500,4/24/2023 10:05
10,11010,600,4/24/2023 10:05
11,11011,900,4/24/2023 10:05
12,11012,2000,4/24/2023 10:05
13,11013,2000,4/24/2023 10:05
14,11014,1000,4/24/2023 10:05
15,11015,1000,4/24/2023 10:05
16,11016,500,4/24/2023 10:05
17,11017,500,4/24/2023 10:05
18,11018,1500,4/24/2023 10:05
19,11019,600,4/24/2023 10:05
20,11020,900,4/24/2023 10:05
21,11021,1000,4/24/2023 10:05
22,11022,1000,4/24/2023 10:05
23,11023,500,4/24/2023 10:05
24,11024,500,4/24/2023 10:05
25,11025,1500,4/24/2023 10:05
26,11026,1000,4/24/2023 10:05
27,11027,1000,4/24/2023 10:05
28,11028,500,4/24/2023 10:05
29,11029,2000,4/24/2023 10:05
30,11030,2000,4/24/2023 10:05
31,11031,500,4/24/2023 10:05
32,11032,1500,4/24/2023 10:05
33,11033,600,4/24/2023 10:05
34,11034,900,4/24/2023 10:05
35,11035,1000,4/24/2023 10:05
36,11036,1000,4/24/2023 10:05
37,11037,500,4/24/2023 10:05
38,11038,500,4/24/2023 10:05
39,11039,1500,4/24/2023 10:05
40,11040,1000,4/24/2023 10:05
41,11041,1000,4/24/2023 10:05
42,11042,500,4/24/2023 10:05
43,11043,2000,4/24/2023 10:05
44,11044,2000,4/24/2023 10:05
45,11045,500,4/24/2023 10:05
46,11046,1500,4/24/2023 10:05
47,11047,600,4/24/2023 10:05
48,11048,900,4/24/2023 10:05
49,11049,1000,4/24/2023 10:05
50,11050,1000,4/24/2023 10:05
51,11051,500,4/24/2023 10:05
52,11052,500,4/24/2023 10:05
53,11053,1500,4/24/2023 10:05
54,11054,1000,4/24/2023 10:05
55,11055,1000,4/24/2023 10:05
56,11056,500,4/24/2023 10:05
57,11057,2000,4/24/2023 10:05
58,11058,2000,4/24/2023 10:05
59,11059,500,4/24/2023 10:05
60,11060,1500,4/24/2023 10:05
61,11061,600,4/24/2023 10:05
62,11062,900,4/24/2023 10:05
63,11063,1000,4/24/2023 10:05
64,11064,1000,4/24/2023 10:05
65,11065,500,4/24/2023 10:05
66,11066,500,4/24/2023 10:05
67,11067,1500,4/24/2023 10:05
68,11068,1000,4/24/2023 10:05
69,11069,1000,4/24/2023 10:05
70,11070,500,4/24/2023 10:05
71,11071,2000,4/24/2023 10:05
72,11072,2000,4/24/2023 10:05
73,11073,500,4/24/2023 10:05
74,11074,1500,4/24/2023 10:05
75,11075,600,4/24/2023 10:05
76,11076,900,4/24/2023 10:05
77,11077,1000,4/24/2023 10:05
78,11078,1000,4/24/2023 10:05
79,11079,500,4/24/2023 10:05
80,11080,500,4/24/2023 10:05
81,11081,1500,4/24/2023 10:05
82,11082,1000,4/24/2023 10:05
83,11083,1000,4/24/2023 10:05
84,11084,500,4/24/2023 10:05
85,11085,2000,4/24/2023 10:05
86,11086,2000,4/24/2023 10:05
87,11087,500,4/24/2023 10:05
88,11088,1500,4/24/2023 10:05
89,11089,600,4/24/2023 10:05
90,11090,900,4/24/2023 10:05
91,11091,1000,4/24/2023 10:05
92,11092,1000,4/24/2023 10:05
93,11093,500,4/24/2023 10:05
94,11094,500,4/24/2023 10:05
95,11095,1500,4/24/2023 10:05
96,11096,1000,4/24/2023 10:05
97,11097,1000,4/24/2023 10:05
98,11098,500,4/24/2023 10:05
99,11099,2000,4/24/2023 10:05
100,11100,2000,4/24/2023 10:05
101,11101,500,4/24/2023 10:05
102,11102,1500,4/24/2023 10:05
103,11103,600,4/24/2023 10:05
104,11104,900,4/24/2023 10:05
105,11105,1000,4/24/2023 10:05
106,11106,1000,4/24/2023 10:05
107,11107,500,4/24/2023 10:05
108,11108,500,4/24/2023 10:05
109,11109,1500,4/24/2023 10:05
110,11110,1000,4/24/2023 10:05
111,11111,1000,4/24/2023 10:05
112,11112,500,4/24/2023 10:05
113,11113,2000,4/24/2023 10:05
114,11114,2000,4/24/2023 10:05
115,11115,500,4/24/2023 10:05
116,11116,1500,4/24/2023 10:05
117,11117,600,4/24/2023 10:05
118,11118,900,4/24/2023 10:05
119,11119,1000,4/24/2023 10:05
120,11120,1000,4/24/2023 10:05
121,11121,500,4/24/2023 10:05
122,11122,500,4/24/2023 10:05
123,11123,1500,4/24/2023 10:05
124,11124,1000,4/24/2023 10:05
125,11125,1000,4/24/2023 10:05
126,11126,500,4/24/2023 10:05
127,11127,2000,4/24/2023 10:05
128,11128,2000,4/24/2023 10:05
129,11129,500,4/24/2023 10:05
130,11130,1500,4/24/2023 10:05
131,11131,600,4/24/2023 10:05
132,11132,900,4/24/2023 10:05
133,11133,1000,4/24/2023 10:05
134,11134,1000,4/24/2023 10:05
135,11135,500,4/24/2023 10:05
136,11136,500,4/24/2023 10:05
137,11137,1500,4/24/2023 10:05
138,11138,1000,4/24/2023 10:05
139,11139,1000,4/24/2023 10:05
140,11140,500,4/24/2023 10:05
141,11141,2000,4/24/2023 10:05
142,11142,2000,4/24/2023 10:05
143,11143,500,4/24/2023 10:05
144,11144,1500,4/24/2023 10:05
145,11145,600,4/24/2023 10:05
146,11146,900,4/24/2023 10:05
147,11147,1000,4/24/2023 10:05
148,11148,1000,4/24/2023 10:05
149,11149,500,4/24/2023 10:05
150,11150,500,4/24/2023 10:05
151,11151,1500,4/24/2023 10:05
152,11152,1000,4/24/2023 10:05
153,11153,1000,4/24/2023 10:05
154,11154,500,4/24/2023 10:05
155,11155,2000,4/24/2023 10:05
156,11156,2000,4/24/2023 10:05
157,11157,500,4/24/2023 10:05
158,11158,1500,4/24/2023 10:05
159,11159,600,4/24/2023 10:05
160,11160,900,4/24/2023 10:05
