transaction_id,transaction_date,transaction_price,price_unit,transaction_quantity,quantity_unit,store_id,product_id
307433,4/24/2023 10:41,55,1Kg,1,1Kg,1002,7432
300051,4/24/2023 10:41,50.1,1Kg,1,1Kg,1001,50
305110,4/24/2023 10:41,49,1Ea,3,1Ea,1001,5109
305116,4/24/2023 10:41,49,1Ea,3,1Ea,1001,5115
300090,4/24/2023 10:41,44.5,1Kg,1,1Kg,1001,89
305094,4/24/2023 10:41,44,1Ea,3,1Ea,1001,5093
305126,4/24/2023 10:41,44,1Ea,3,1Ea,1001,5125
305451,4/24/2023 10:41,42.1,1L,3,1L,1001,5450
305452,4/24/2023 10:41,42.1,1L,3,1L,1001,5451
306592,4/24/2023 10:41,42,1Kg,1,1Kg,1002,6591
306685,4/24/2023 10:41,40,1L,3,1L,1002,6684
300269,4/24/2023 10:41,39.6,1Kg,1,1Kg,1001,268
300088,4/24/2023 10:41,38.5,1Kg,1,1Kg,1001,87
306210,4/24/2023 10:41,38,100mL,3,100mL,1001,6209
306213,4/24/2023 10:41,38,100mL,3,100mL,1001,6212
306261,4/24/2023 10:41,38,100mL,3,100mL,1001,6260
305127,4/24/2023 10:41,37,1Ea,3,1Ea,1001,5126
300284,4/24/2023 10:41,36.54,1Kg,1,1Kg,1001,283
305122,4/24/2023 10:41,36,1Ea,3,1Ea,1001,5121
305123,4/24/2023 10:41,36,1Ea,3,1Ea,1001,5122
304806,4/24/2023 10:41,35,100G,2,100G,1001,4805
304812,4/24/2023 10:41,35,100G,2,100G,1001,4811
305997,4/24/2023 10:41,35,100G,2,100G,1001,5996
306003,4/24/2023 10:41,35,100G,2,100G,1001,6002
300134,4/24/2023 10:41,34,1Kg,1,1Kg,1001,133
300143,4/24/2023 10:41,34,1Kg,1,1Kg,1001,142
304789,4/24/2023 10:41,34,100G,2,100G,1001,4788
304794,4/24/2023 10:41,34,100G,2,100G,1001,4793
305980,4/24/2023 10:41,34,100G,2,100G,1001,5979
305985,4/24/2023 10:41,34,100G,2,100G,1001,5984
306871,4/24/2023 10:41,34,1Kg,1,1Kg,1002,6870
307343,4/24/2023 10:41,33.33,1Kg,1,1Kg,1002,7342
304785,4/24/2023 10:41,32,100G,2,100G,1001,4784
304786,4/24/2023 10:41,32,100G,2,100G,1001,4785
304791,4/24/2023 10:41,32,100G,2,100G,1001,4790
305455,4/24/2023 10:41,32,1L,3,1L,1001,5454
305465,4/24/2023 10:41,32,1L,3,1L,1001,5464
305976,4/24/2023 10:41,32,100G,2,100G,1001,5975
305977,4/24/2023 10:41,32,100G,2,100G,1001,5976
305982,4/24/2023 10:41,32,100G,2,100G,1001,5981
306375,4/24/2023 10:41,32,100G,2,100G,1001,6374
306435,4/24/2023 10:41,32,100G,2,100G,1001,6434
306445,4/24/2023 10:41,32,100G,2,100G,1001,6444
306453,4/24/2023 10:41,32,100G,2,100G,1001,6452
306985,4/24/2023 10:41,32,100G,2,100G,1001,6984
307005,4/24/2023 10:41,32,100G,2,100G,1001,7004
307021,4/24/2023 10:41,32,100G,2,100G,1001,7020
307029,4/24/2023 10:41,32,100G,2,100G,1001,7028
300139,4/24/2023 10:41,31.3,1Kg,1,1Kg,1001,138
300129,4/24/2023 10:41,31.1,1Kg,1,1Kg,1001,128
306595,4/24/2023 10:41,30.8,1Kg,1,1Kg,1002,6594
300127,4/24/2023 10:41,30.5,1Kg,1,1Kg,1001,126
300946,4/24/2023 10:41,30.22,1Kg,1,1Kg,1001,945
300130,4/24/2023 10:41,30,1Kg,1,1Kg,1001,129
302892,4/24/2023 10:41,30,100G,2,100G,1001,2891
309585,4/24/2023 10:41,30,100G,2,100G,1002,9584
300108,4/24/2023 10:41,29.7,1Kg,1,1Kg,1001,107
305453,4/24/2023 10:41,29.5,1L,3,1L,1001,5452
