inventory_id,product_id,store_id,inventory_quantity,quantity_unit
0,0,1001,1,1Kg
1,1,1001,1,1Kg
2,2,1001,1,1Kg
3,3,1001,1,1Kg
4,4,1001,1,1Kg
5,5,1001,1,1Kg
6,6,1001,1,1Kg
7,7,1001,1,1Kg
8,8,1001,1,1Kg
9,9,1001,1,1Kg
10,10,1001,1,1Kg
11,11,1001,1,1Kg
12,12,1001,2,100G
13,13,1001,1,1Kg
14,14,1001,1,1Kg
15,15,1001,1,1Kg
16,16,1001,1,1Kg
17,17,1001,1,1Kg
18,18,1001,1,1Kg
19,19,1001,1,1Kg
20,20,1001,1,1Kg
21,21,1001,1,1Kg
22,22,1001,1,1Kg
23,23,1001,1,1Kg
24,24,1001,1,1Kg
25,25,1001,1,1Kg
26,26,1001,1,1Kg
27,27,1001,1,1Kg
28,28,1001,1,1Kg
29,29,1001,1,1Kg
30,30,1001,1,1Kg
31,31,1001,1,1Kg
32,32,1001,1,1Kg
33,33,1001,1,1Kg
34,34,1001,1,1Kg
35,35,1001,1,1Kg
36,36,1001,1,1Kg
37,37,1001,1,1Kg
38,38,1001,1,1Kg
39,39,1001,1,1Kg
40,40,1001,1,1Kg
41,41,1001,1,1Kg
42,42,1001,1,1Kg
43,43,1001,1,1Kg
44,44,1001,1,1Kg
45,45,1001,1,1Kg
46,46,1001,1,1Kg
47,47,1001,1,1Kg
48,48,1001,1,1Kg
49,49,1001,1,1Kg
50,50,1001,1,1Kg
51,51,1001,1,1Kg
52,52,1001,1,1Kg
53,53,1001,1,1Kg
54,54,1001,2,1Kg
55,55,1001,1,1Kg
56,56,1001,2,100G
57,57,1001,1,1Kg
58,58,1001,1,1Kg
59,59,1001,1,1Kg
60,60,1001,1,1Kg
61,61,1001,1,1Kg
62,62,1001,1,1Kg
63,63,1001,1,1Kg
64,64,1001,1,1Kg
65,65,1001,1,1Kg
66,66,1001,1,1Kg
67,67,1001,1,1Kg
68,68,1001,1,1Kg
69,69,1001,1,1Kg
70,70,1001,1,1Kg
71,71,1001,1,1Kg
72,72,1001,1,1Kg
73,73,1001,2,100G
74,74,1001,1,1Kg
75,75,1001,1,1Kg
76,76,1001,1,1Kg
77,77,1001,1,1Kg
78,78,1001,1,1Kg
79,79,1001,1,1Kg
80,80,1001,1,1Kg
81,81,1001,1,1Kg
82,82,1001,1,1Kg
83,83,1001,1,1Kg
84,84,1001,1,1Kg
85,85,1001,1,1Kg
86,86,1001,1,1Kg
87,87,1001,1,1Kg
88,88,1001,1,1Kg
89,89,1001,1,1Kg
90,90,1001,1,1Kg
91,91,1001,3,
92,92,1001,3,
93,93,1001,1,1Kg
94,94,1001,1,1Kg
95,95,1001,1,1Kg
96,96,1001,1,1Kg
97,97,1001,2,100G
98,98,1001,1,1Kg
99,99,1001,1,1Kg
100,100,1001,1,1Kg
101,101,1001,1,1Kg
102,102,1001,2,1Kg
103,103,1001,2,1Kg
104,104,1001,2,1Kg
105,105,1001,2,1Kg
106,106,1001,2,1Kg
107,107,1001,2,1Kg
108,108,1001,2,1Kg
109,109,1001,2,1Kg
110,110,1001,2,1Kg
111,111,1001,2,1Kg
112,112,1001,2,1Kg
113,113,1001,2,1Kg
114,114,1001,2,1Kg
115,115,1001,2,1Kg
116,116,1001,2,1Kg
117,117,1001,2,1Kg
118,118,1001,2,1Kg
119,119,1001,2,1Kg
120,120,1001,2,1Kg
121,121,1001,2,1Kg
122,122,1001,2,1Kg
123,123,1001,2,1Kg
124,124,1001,2,1Kg
125,125,1001,2,1Kg
126,126,1001,2,1Kg
127,127,1001,2,1Kg
128,128,1001,2,1Kg
129,129,1001,2,1Kg
130,130,1001,2,1L
131,131,1001,2,1Kg
132,132,1001,2,1Kg
133,133,1001,2,1Kg
134,134,1001,2,1Kg
135,135,1001,2,1Kg
136,136,1001,2,1Kg
137,137,1001,2,1Kg
138,138,1001,2,1Kg
139,139,1001,2,1Kg
140,140,1001,2,1Kg
141,141,1001,2,1Kg
142,142,1001,2,1Kg
143,143,1001,2,1Kg
144,144,1001,2,1Kg
145,145,1001,2,1Kg
146,146,1001,2,1Kg
147,147,1001,2,1Kg
148,148,1001,2,1Kg
149,149,1001,2,1Kg
150,150,1001,2,1Kg
151,151,1001,2,1Kg
152,152,1001,2,1Kg
153,153,1001,2,1Kg
154,154,1001,2,1Kg
155,155,1001,2,1Kg
156,156,1001,2,1Kg
157,157,1001,2,1Kg
158,158,1001,2,1Kg
159,159,1001,2,1Kg
160,160,1001,2,1Kg
161,161,1001,2,1Kg
162,162,1001,2,1Kg
163,163,1001,2,1Kg
164,164,1001,2,1Kg
165,165,1001,2,1Kg
166,166,1001,2,1Kg
167,167,1001,2,1Kg
168,168,1001,2,1Kg
169,169,1001,2,1Kg
