product_id,product_name,product_group,product_brand,category_id,supplier_id
0,RSPCA Approved Chicken Necks,Chicken offal,Coles,0,0
1,RSPCA Approved Chicken Livers,Chicken offal,Coles,0,0
2,RSPCA Approved Chicken Giblets,Chicken offal,Coles,0,0
3,RSPCA Approved Chicken Frames,Chicken offal,Coles,0,0
4,RSPCA Chicken Schnitzel Plain Crumb,Crumbed chicken,Coles,0,0
5,RSPCA Approved Chicken Breast Kiev Garlic Butter,Crumbed chicken,Coles,0,0
6,RSPCA Approved Chicken Breast Schnitzel Plain Crumb,Crumbed chicken,Coles,0,0
7,RSPCA Approved Chicken Breast Fillet Crumb Sage & Rosemary,Crumbed chicken,Coles,0,0
8,RSPCA Approved Chicken Tenders Southern Fried,Crumbed chicken,Coles,0,0
9,RSPCA Approved Chicken Burgers Plain Crumb,Crumbed chicken,Coles,0,0
10,RSPCA Approved Chicken Breast Schnitzel Garlic & Herb Crumb,Crumbed chicken,Coles,0,0
11,RSPCA Approved Chicken Popcorn Southern Fried,Crumbed chicken,Coles,0,0
12,RSPCA Approved Chicken Southern Fried Thigh Burger,Crumbed chicken,Coles,0,0
13,RSPCA Approved Chicken Burgers Plain Crumb,Crumbed chicken,Coles,0,0
14,Gluten Free Chicken Breast Schnitzel,Crumbed chicken,Canon Foods,0,0
15,RSPCA Approved Chicken Breast Kiev Creamy Garlic,Crumbed chicken,Coles,0,0
16,RSPCA Approved Chicken Breast Tenders Plain Crumb,Crumbed chicken,Coles,0,0
17,RSPCA Approved Chicken Burgers Herb & Garlic Crumb,Crumbed chicken,Coles,0,0
18,RSPCA Approved Plain Chicken Donuts,Crumbed chicken,Coles,0,0
19,RSPCA Approved Chicken Dinosaur Bites With Cauliflower,Crumbed chicken,Coles,0,0
20,RSPCA Approved Chicken And Cheese Crumbed Burger,Crumbed chicken,Coles,0,0
21,Spicy Korean Chicken Bites,Crumbed chicken,Coles,0,0
22,RSPCA Approved Chicken Chips With Cauliflower,Crumbed chicken,Coles,0,0
23,RSPCA Approved Chicken Chips Salt & Vinegar,Crumbed chicken,Coles,0,0
24,RSPCA Approved Chicken Drumsticks Large Pack,Drumsticks & maryland,Coles,0,0
25,RSPCA Approved Chicken Drumsticks,Drumsticks & maryland,Coles,0,0
26,Free Range RSPCA Approved Chicken Thigh Cutlets,Drumsticks & maryland,Slow Hills,0,0
27,RSPCA Approved Chicken Drumsticks With Mediterranean Glaze,Drumsticks & maryland,Coles,0,0
28,Free Range RSPCA Approved Chicken Drumsticks,Drumsticks & maryland,Slow Hills,0,0
29,RSPCA Approved Chicken Lovely Legs,Drumsticks & maryland,Coles,0,0
30,RSPCA Approved Chicken Kebabs Honey & Soy,Kebabs & bites,Coles,0,0
31,RSPCA Approved Chicken Kebabs Honey & Soy,Kebabs & bites,Coles,0,0
32,RSPCA Approved Chicken Kebabs With Sticky BBQ Rub,Kebabs & bites,Coles,0,0
33,RSPCA Approved Chicken Kebabs Satay Style,Kebabs & bites,Coles,0,0
34,RSPCA Approved Chicken Kebas With Thai Rub,Kebabs & bites,Coles,0,0
35,RPSCA Approved Chicken King Kebab Middle Eastern Rub,Kebabs & bites,Coles,0,0
36,RSPCA Approved Medium Whole Chicken,Whole chicken,Coles,0,0
37,RSPCA Approved Extra Large Whole Chicken,Whole chicken,Coles,0,0
38,RSPCA Approved Chicken Whole Boneless Herb & Garlic,Whole chicken,Coles,0,0
39,Free Range RSPCA Approved Whole Chicken,Whole chicken,Slow Hills,0,0
40,RSPCA Approved Whole Boneless Chicken With Asian BBQ Seasoning,Whole chicken,Coles,0,0
41,Whole Corn Fed Chicken,Whole chicken,Game Farm,0,0
42,Whole Spatchcock,Spatchcock & quail,Game Farm,0,0
43,RSPCA Approved Chicken Wings Honey & Soy,Marinated & roast chicken,Coles,0,0
44,RSPCA Approved Chicken Boneless Roast With Apricot & Herb Stuffing,Marinated & roast chicken,Coles,0,0
45,RSPCA Approved Chicken Mixed Portions Southern Fried,Marinated & roast chicken,Coles,0,0
46,RSPCA Approved Chicken Breast Steaks Lemon & Herb,Marinated & roast chicken,Coles,0,0
47,RSPCA Approved Chicken Portions With BBQ Rub,Marinated & roast chicken,Coles,0,0
48,BBQ Oven Roasted Chicken Breast,Marinated & roast chicken,Moira Mac's,0,0
49,Turkey Breast Portion,Marinated & roast chicken,Moira Mac's,0,0
50,Turkey Buffet Oven Roasted,Marinated & roast chicken,Ingham,0,0
51,No Added Hormone Beef Marrow Bones,Beef bones & offal,Coles,1,0
52,No Added Hormone Beef Bones,Beef bones & offal,Coles,1,0
53,Beef Sizzle Steak,Beef steaks,Coles,1,0
54,No Added Hormone Beef Quick Cook Scotch Fillet Steak,Beef steaks,Coles,1,0
55,No Added Hormone Beef Scotch Fillet Thin Sliced,Beef steaks,Coles,1,0
56,Beef Quick VSP Porterhouse Steak,Beef steaks,Coles,1,0
57,Beef Rump Steak,Beef steaks,Coles,1,0
58,No Added Hormone Beef Rump Medallions,Beef steaks,Coles,1,0
59,Beef Rump Steak,Beef steaks,Coles,1,0
60,No Added Hormone Beef Porterhouse Steak 2 Pack,Beef steaks,Coles,1,0
61,Beef T Bone Steak,Beef steaks,Coles,1,0
62,Beef Eye Fillet Steak,Beef steaks,Coles,1,0
63,No Added Hormone Beef Sandwich Steak,Beef steaks,Coles,1,0
64,Beef Scotch Steak Fillet 2 Pack,Beef steaks,Coles,1,0
65,Beef Gravy,Beef steaks,Coles,1,0
66,No Added Hormone Beef Porterhouse Steak With Thyme And Pepper Butter,Beef steaks,Coles,1,0
67,No Added Hormone Beef Oyster Blade Steak,Beef steaks,Coles,1,0
68,Beef Scotch Steak,Beef steaks,Coles,1,0
69,Choice Beef Rump Steak,Beef steaks,Drovers,1,0
70,Beef Eye Fillet Roast,Beef steaks,Coles,1,0
71,No Added Hormone Beef Blade Steak,Beef steaks,Drovers Choice,1,0
72,Graze Grassfed Beef Scotch Fillet Steak,Beef steaks,Coles,1,0
73,Graze Grassfed Beef Rump Steak,Beef steaks,Coles,1,0
74,No Added Hormone Beef Scotch Steak With Truffle Butter,Beef steaks,Coles,1,0
75,No Added Hormone Beef Oyster Blade Thin Sliced Steak,Beef steaks,Coles,1,0
76,Beef Porterhouse Steak,Beef steaks,Coles,1,0
77,Graze Grassfed Beef Fillet Steak,Beef steaks,Coles,1,0
78,Beef Ribs,Beef steaks,Drovers,1,0
79,Beef Chunky Casserole Steaks,Beef steaks,Drovers Choice,1,0
80,Angus Beef Scotch Fillet Steak,Beef steaks,Coles Finest,1,0
81,Angus Beef Rump Steak,Beef steaks,Coles Finest,1,0
82,Beef Round Steaks,Beef steaks,Drovers Choice,1,0
83,Angus Beef Porterhouse Steak,Beef steaks,Coles Finest,1,0
84,Beef Sirloin Truffle Butter,Beef steaks,Eight Mile,1,0
85,No Added Hormone Beef Rump Steak,Beef steaks,Drovers Choice,1,0
86,No Added Hormone Beef Shin Gravy Beef Whole Piece,Beef steaks,Coles,1,0
87,No Added Hormone Beef Tomahawk Steak,Beef steaks,Coles,1,0
88,Beef Eye Of Rump With Herb And Garlic Butter,Beef steaks,Eight Mile,1,0
89,Beef Eye Fillet Piece,Beef steaks,Drovers Choice,1,0
90,Beef Chuck Casserole Steak,Beef steaks,Coles,1,0
91,No Added Hormone Beef Sandwich Steak,Beef steaks,Coles,1,0
92,Beef Rump Steak,Beef steaks,Coles,1,0
93,Carbon Neutral Beef Porterhouse Steak,Beef steaks,Coles Finest,1,0
94,Graze Grass Fed Beef Mince,Graze beef,Coles,1,0
95,Graze Grassfed Beef Stir Fry,Graze beef,Coles,1,0
96,Graze Grassfed Beef Scotch Fillet Steak,Graze beef,Coles,1,0
97,Graze Grassfed Beef Rump Steak,Graze beef,Coles,1,0
98,Graze Grassfed Beef Fillet Steak,Graze beef,Coles,1,0
99,Beef Graze Grass Fed Roast Slow Cook,Graze beef,Coles,1,0
100,Graze Grass Fed Beef Mince,Slow cook & casserole beef,Coles,1,0
101,No Added Hormone Beef Brisket Slow Cook,Slow cook & casserole beef,Coles,1,0
102,Beef Ribs,Slow cook & casserole beef,Coles,1,0
