sale_id,sale_date,sale_price,price_unit,sale_quantity,quantity_unit,product_id,store_id,customer_id,employee_id
1005319,4/24/2023 10:41,260,100G,2,100G,5318,1001,318,11185
1005350,4/24/2023 10:41,260,100G,2,100G,5349,1001,349,11262
1007264,4/24/2023 10:41,250,1Kg,1,1Kg,7263,1002,263,11253
1007269,4/24/2023 10:41,250,1Kg,1,1Kg,7268,1002,268,11268
1002945,4/24/2023 10:41,200.07,1Kg,1,1Kg,2944,1001,944,11248
1003002,4/24/2023 10:41,200.07,1Kg,1,1Kg,3001,1001,1,11007
1007952,4/24/2023 10:41,190,1Kg,1,1Kg,7951,1002,329,11183
1008596,4/24/2023 10:41,123,1Kg,1,1Kg,8595,1002,450,11284
1003001,4/24/2023 10:41,111.14,1Kg,1,1Kg,3000,1001,0,11000
1009712,4/24/2023 10:41,111.14,1Kg,1,1Kg,9711,1002,500,11025
1000337,4/24/2023 10:41,105,1Kg,1,1Kg,336,1001,336,11296
1000450,4/24/2023 10:41,105,1Kg,1,1Kg,449,1001,449,11289
1006889,4/24/2023 10:41,105,1Kg,1,1Kg,6888,1002,888,11215
1007507,4/24/2023 10:41,105,1Kg,1,1Kg,7506,1002,506,11269
1000333,4/24/2023 10:41,100,1Kg,1,1Kg,332,1001,332,11292
1000446,4/24/2023 10:41,100,1Kg,1,1Kg,445,1001,445,11285
1002994,4/24/2023 10:41,100,1Kg,1,1Kg,2993,1001,993,11313
1002998,4/24/2023 10:41,100,1Kg,1,1Kg,2997,1001,997,11317
1003008,4/24/2023 10:41,100,1Kg,1,1Kg,3007,1001,7,11056
1006890,4/24/2023 10:41,100,1Kg,1,1Kg,6889,1002,889,11217
1007508,4/24/2023 10:41,100,1Kg,1,1Kg,7507,1002,507,11272
1009702,4/24/2023 10:41,100,1Kg,1,1Kg,9701,1002,490,11313
1009708,4/24/2023 10:41,100,1Kg,1,1Kg,9707,1002,496,11319
1009710,4/24/2023 10:41,100,1Kg,1,1Kg,9709,1002,498,11007
1000349,4/24/2023 10:41,96,1Kg,1,1Kg,348,1001,348,11308
1000358,4/24/2023 10:41,96,1Kg,1,1Kg,357,1001,357,11317
1000457,4/24/2023 10:41,96,1Kg,1,1Kg,456,1001,456,11296
1000465,4/24/2023 10:41,96,1Kg,1,1Kg,464,1001,464,11304
1006898,4/24/2023 10:41,96,1Kg,1,1Kg,6897,1002,897,11235
1006904,4/24/2023 10:41,96,1Kg,1,1Kg,6903,1002,903,11253
1007526,4/24/2023 10:41,96,1Kg,1,1Kg,7525,1002,525,11291
1007532,4/24/2023 10:41,96,1Kg,1,1Kg,7531,1002,531,11297
1000586,4/24/2023 10:41,95,1Kg,1,1Kg,585,1001,585,11305
1007943,4/24/2023 10:41,95,1Kg,1,1Kg,7942,1002,320,11168
1007950,4/24/2023 10:41,95,1Kg,1,1Kg,7949,1002,327,11180
1003047,4/24/2023 10:41,91.68,1Kg,1,1Kg,3046,1001,46,11206
1000325,4/24/2023 10:41,90,1Kg,1,1Kg,324,1001,324,11284
1000442,4/24/2023 10:41,90,1Kg,1,1Kg,441,1001,441,11281
1004268,4/24/2023 10:41,90,1Kg,1,1Kg,4267,1001,267,11259
1006884,4/24/2023 10:41,90,1Kg,1,1Kg,6883,1002,883,11206
1007501,4/24/2023 10:41,90,1Kg,1,1Kg,7500,1002,500,11253
1000360,4/24/2023 10:41,88.9,1Kg,1,1Kg,359,1001,359,11319
1000467,4/24/2023 10:41,88.9,1Kg,1,1Kg,466,1001,466,11306
1006900,4/24/2023 10:41,88.9,1Kg,1,1Kg,6899,1002,899,11238
1007528,4/24/2023 10:41,88.9,1Kg,1,1Kg,7527,1002,527,11293
1007743,4/24/2023 10:41,88,1Kg,1,1Kg,7742,1002,120,11260
1007656,4/24/2023 10:41,85.84,1Kg,1,1Kg,7655,1002,33,11301
1007659,4/24/2023 10:41,85.84,1Kg,1,1Kg,7658,1002,36,11304
1007664,4/24/2023 10:41,85.84,1Kg,1,1Kg,7663,1002,41,11309
1008212,4/24/2023 10:41,85.84,1Kg,1,1Kg,8211,1002,66,11231
1008220,4/24/2023 10:41,85.84,1Kg,1,1Kg,8219,1002,74,11250
1008225,4/24/2023 10:41,85.84,1Kg,1,1Kg,8224,1002,79,11264
1008600,4/24/2023 10:41,85.84,1Kg,1,1Kg,8599,1002,454,11288
1008604,4/24/2023 10:41,85.84,1Kg,1,1Kg,8603,1002,458,11292
1008610,4/24/2023 10:41,85.84,1Kg,1,1Kg,8609,1002,464,11298
1000348,4/24/2023 10:41,85.71,1Kg,1,1Kg,347,1001,347,11307
1000456,4/24/2023 10:41,85.71,1Kg,1,1Kg,455,1001,455,11295
1006901,4/24/2023 10:41,85.71,1Kg,1,1Kg,6900,1002,900,11242
1007529,4/24/2023 10:41,85.71,1Kg,1,1Kg,7528,1002,528,11294
1000368,4/24/2023 10:41,82.5,1Kg,1,1Kg,367,1001,367,11056
1000469,4/24/2023 10:41,82.5,1Kg,1,1Kg,468,1001,468,11308
1000352,4/24/2023 10:41,80.01,1Kg,1,1Kg,351,1001,351,11311
1000356,4/24/2023 10:41,80.01,1Kg,1,1Kg,355,1001,355,11315
1000460,4/24/2023 10:41,80.01,1Kg,1,1Kg,459,1001,459,11299
1000463,4/24/2023 10:41,80.01,1Kg,1,1Kg,462,1001,462,11302
1006908,4/24/2023 10:41,80.01,1Kg,1,1Kg,6907,1002,907,11264
1006928,4/24/2023 10:41,80.01,1Kg,1,1Kg,6927,1002,927,11290
1007556,4/24/2023 10:41,80.01,1Kg,1,1Kg,7555,1002,555,11007
1007568,4/24/2023 10:41,80.01,1Kg,1,1Kg,7567,1002,567,11081
1000381,4/24/2023 10:41,80,1Kg,1,1Kg,380,1001,380,11138
1000427,4/24/2023 10:41,80,1Kg,1,1Kg,426,1001,426,11253
1007436,4/24/2023 10:41,80,1Kg,1,1Kg,7435,1002,435,11007
1007578,4/24/2023 10:41,80,1Kg,1,1Kg,7577,1002,577,11157
1007751,4/24/2023 10:41,80,1Kg,1,1Kg,7750,1002,128,11275
1000342,4/24/2023 10:41,78,1Kg,1,1Kg,341,1001,341,11301
1000452,4/24/2023 10:41,78,1Kg,1,1Kg,451,1001,451,11291
1006899,4/24/2023 10:41,78,1Kg,1,1Kg,6898,1002,898,11237
1007527,4/24/2023 10:41,78,1Kg,1,1Kg,7526,1002,526,11292
1000585,4/24/2023 10:41,76,1Kg,1,1Kg,584,1001,584,11304
1001086,4/24/2023 10:41,76,1Kg,1,1Kg,1085,1001,85,11034
1007744,4/24/2023 10:41,76,1Kg,1,1Kg,7743,1002,121,11262
1007753,4/24/2023 10:41,76,1Kg,1,1Kg,7752,1002,130,11278
1007939,4/24/2023 10:41,76,1Kg,1,1Kg,7938,1002,316,11159
1007944,4/24/2023 10:41,76,1Kg,1,1Kg,7943,1002,321,11170
1007738,4/24/2023 10:41,75.01,1Kg,1,1Kg,7737,1002,115,11242
1000321,4/24/2023 10:41,75,1Kg,1,1Kg,320,1001,320,11280
1000343,4/24/2023 10:41,75,1Kg,1,1Kg,342,1001,342,11302
1000439,4/24/2023 10:41,75,1Kg,1,1Kg,438,1001,438,11278
1000453,4/24/2023 10:41,75,1Kg,1,1Kg,452,1001,452,11292
1000919,4/24/2023 10:41,75,1Kg,1,1Kg,918,1001,918,11278
1006879,4/24/2023 10:41,75,1Kg,1,1Kg,6878,1002,878,11196
1006896,4/24/2023 10:41,75,1Kg,1,1Kg,6895,1002,895,11232
1006939,4/24/2023 10:41,75,1Kg,1,1Kg,6938,1002,938,11301
1006940,4/24/2023 10:41,75,1Kg,1,1Kg,6939,1002,939,11302
1007492,4/24/2023 10:41,75,1Kg,1,1Kg,7491,1002,491,11231
1007522,4/24/2023 10:41,75,1Kg,1,1Kg,7521,1002,521,11287
1007586,4/24/2023 10:41,75,1Kg,1,1Kg,7585,1002,585,11173
1007587,4/24/2023 10:41,75,1Kg,1,1Kg,7586,1002,586,11174
1008352,4/24/2023 10:41,75,1Kg,1,1Kg,8351,1002,206,11280
1001033,4/24/2023 10:41,74.75,1Kg,1,1Kg,1032,1001,32,11269
1007692,4/24/2023 10:41,74.75,1Kg,1,1Kg,7691,1002,69,11098
1001085,4/24/2023 10:41,73,1Kg,1,1Kg,1084,1001,84,11028
1001185,4/24/2023 10:41,73,1Kg,1,1Kg,1184,1001,184,11304
1007752,4/24/2023 10:41,73,1Kg,1,1Kg,7751,1002,129,11277
1007810,4/24/2023 10:41,73,1Kg,1,1Kg,7809,1002,187,11087
1000370,4/24/2023 10:41,72.5,1Kg,1,1Kg,369,1001,369,11063
1000384,4/24/2023 10:41,72.5,1Kg,1,1Kg,383,1001,383,11157
1000385,4/24/2023 10:41,72.5,1Kg,1,1Kg,384,1001,384,11159
1000386,4/24/2023 10:41,72.5,1Kg,1,1Kg,385,1001,385,11163
1007575,4/24/2023 10:41,72.5,1Kg,1,1Kg,7574,1002,574,11138
1007582,4/24/2023 10:41,72.5,1Kg,1,1Kg,7581,1002,581,11167
1007583,4/24/2023 10:41,72.5,1Kg,1,1Kg,7582,1002,582,11168
1007584,4/24/2023 10:41,72.5,1Kg,1,1Kg,7583,1002,583,11170
1000377,4/24/2023 10:41,70.83,1Kg,1,1Kg,376,1001,376,11097
1000475,4/24/2023 10:41,70.83,1Kg,1,1Kg,474,1001,474,11314
1006909,4/24/2023 10:41,70.83,1Kg,1,1Kg,6908,1002,908,11268
1006910,4/24/2023 10:41,70.83,1Kg,1,1Kg,6909,1002,909,11269
1007558,4/24/2023 10:41,70.83,1Kg,1,1Kg,7557,1002,557,11025
1007559,4/24/2023 10:41,70.83,1Kg,1,1Kg,7558,1002,558,11028
1003031,4/24/2023 10:41,70.77,1Kg,1,1Kg,3030,1001,30,11172
1009991,4/24/2023 10:41,70.77,1Kg,1,1Kg,9990,1002,207,11201
1000332,4/24/2023 10:41,70,1Kg,1,1Kg,331,1001,331,11291
1000335,4/24/2023 10:41,70,1Kg,1,1Kg,334,1001,334,11294
1000445,4/24/2023 10:41,70,1Kg,1,1Kg,444,1001,444,11284
1000448,4/24/2023 10:41,70,1Kg,1,1Kg,447,1001,447,11287
1006482,4/24/2023 10:41,70,1Kg,1,1Kg,6481,1002,481,11028
1006887,4/24/2023 10:41,70,1Kg,1,1Kg,6886,1002,886,11211
1006894,4/24/2023 10:41,70,1Kg,1,1Kg,6893,1002,893,11226
1007504,4/24/2023 10:41,70,1Kg,1,1Kg,7503,1002,503,11262
1007518,4/24/2023 10:41,70,1Kg,1,1Kg,7517,1002,517,11283
1007712,4/24/2023 10:41,70,1Kg,1,1Kg,7711,1002,89,11183
1008442,4/24/2023 10:41,70,1Kg,1,1Kg,8441,1002,296,11214
1002932,4/24/2023 10:41,69.5,1Kg,1,1Kg,2931,1001,931,11215
1009925,4/24/2023 10:41,69.5,1Kg,1,1Kg,9924,1002,141,11296
1000605,4/24/2023 10:41,69,1Kg,1,1Kg,604,1001,604,11028
1000606,4/24/2023 10:41,69,1Kg,1,1Kg,605,1001,605,11034
1007261,4/24/2023 10:41,69,1Kg,1,1Kg,7260,1002,260,11242
1007265,4/24/2023 10:41,69,1Kg,1,1Kg,7264,1002,264,11259
1007748,4/24/2023 10:41,69,1Kg,1,1Kg,7747,1002,125,11272
1001260,4/24/2023 10:41,68.75,1Kg,1,1Kg,1259,1001,259,11233
1007890,4/24/2023 10:41,68.75,1Kg,1,1Kg,7889,1002,267,11295
1000319,4/24/2023 10:41,68,1Kg,1,1Kg,318,1001,318,11278
1000357,4/24/2023 10:41,68,1Kg,1,1Kg,356,1001,356,11316
1000437,4/24/2023 10:41,68,1Kg,1,1Kg,436,1001,436,11275
1000464,4/24/2023 10:41,68,1Kg,1,1Kg,463,1001,463,11303
1006880,4/24/2023 10:41,68,1Kg,1,1Kg,6879,1002,879,11201
